Organisation;Abréviation;Spécialité;Type;Actualités;RSS;Publications ouvertes;Publications RSS;Social
Société Francophone de Néphrologie Dialyse et Transplantation;SFNDT;néphrologie;societe savante;https://www.sfndt.org/actualites;https://www.sfndt.org/actualites/feed;https://www.sfndt.org/professionnels/recommandations;No;https://x.com/com_SFNDT
International Society for Peritoneal Dialysis;ISPD;néphrologie;societe savante;https://ispd.org/category/whats-new/;https://ispd.org/feed/;https://ispd.org/guidelines/;No;https://x.com/pdiconnect
European Renal Association - European Dialysis and Transplant Association;ERA-EDTA;néphrologie;societe savante;https://www.era-online.org;No;https://www.era-online.org/publications/;No;https://x.com/ERAkidney/
Kidney Disease Improving Global Outcomes;KDIGO;néphrologie;societe savante;https://kdigo.org/category/news/;https://kdigo.org/category/news//feed;https://kdigo.org/guidelines/;No;https://x.com/gokdigo
Société Française d'Ophtalmologie;SFO;ophtalmologie;societe savante;https://www.sfo-online.fr/actualites;No;https://www.sfo-online.fr;No;No
Société Française de Chirurgie Orthopédique et Traumatologique;SOFCOT;orthopedie;societe savante;https://www.sofcot.fr/actualites;No;https://www.sofcot.fr/mediatheque/recherche-avancee;No;https://x.com/sofcot_ortho
American Academy of Orthopaedic Surgeons;AAOS;orthopedie;societe savante;https://www.aaos.org/;No;https://www.aaos.org/quality/quality-programs/clinical-practice-guidelines/;No;https://x.com/aaos1
Société Française et Francophone des Plaies et Cicatrisations;SFFPC;dermatologie;societe savante;https://www.sffpc.org/news;https://www.sffpc.org/news?format=feed&type=rss;No;No;No
Société Française de Gériatrie et Gérontologie;SFGG;geriatrie;societe savante;https://sfgg.org/actualites/;https://sfgg.org/actualites//feed;https://sfgg.org/recommandations/;No;https://x.com/lasfgg
Société Française de Pédiatrie;SFP;pediatrie;societe savante;https://www.sfpediatrie.com/la-sfp/actualites;No;https://www.sfpediatrie.com/ressources/recommandations;No;No
Association Française de Pédiatrie Ambulatoire;AFPA;pediatrie;societe savante;https://afpa.org/actualites/;No;https://afpa.org/nos-outils/recommandations/;No;https://x.com/pediatresafpa
Société Française de Neurologie Pédiatrique;SFNP;neurologie;societe savante;https://www.sfneuroped.fr/actualites/;https://www.sfneuroped.fr/feed/;No;No;No
Société Française de Néonatalogie;SFNéonatalogie;pediatrie;societe savante;https://www.societe-francaise-neonatalogie.com/alertes-et-avis;No;https://www.societe-francaise-neonatalogie.com/recommandations;No;https://x.com/SFneonatalogie
Société de Pneumologie de Langue Française;SPLF;pneumologie;societe savante;http://splf.fr;http://splf.fr/feed/;http://splf.fr/documents/les-recommandations-splf/;No;No
Fédération Française de Pneumologie;FFP;pneumologie;societe savante;http://www.ffpneumologie.org/actualites/;http://www.ffpneumologie.org/feed/;http://www.ffpneumologie.org/documents/;No;No
European Respiratory Society;ERS;pneumologie;societe savante;https://www.ersnet.org/news-and-features/;No;https://www.ers-education.org/guidelines/;No;https://x.com/ERSpublications
American Thoracic Society;ATS;pneumologie;societe savante;https://news.thoracic.org;No;https://www.thoracic.org/statements/index.php;No;https://x.com/atscommunity
Société Pédiatrique de Pneumologie et Allergologie;SP2A;pneumologie;societe savante;https://www.sp2a.fr/actualites/;No;https://www.sp2a.fr/documentation/;No;No
Global Initiative For Asthma;GINA;pneumologie;societe savante;https://ginasthma.org/news/;https://ginasthma.org/feed/;https://ginasthma.org/gina-reports/;No;https://x.com/ginasthma
Global Initiative For Chronic Obstructive Lung Disease;GOLD;pneumologie;societe savante;https://goldcopd.org/news/;https://goldcopd.org/feed/;https://goldcopd.org/2023-gold-report-2/;No;https://x.com/GOLD_COPD
European Psychiatric Association;EPA;psychiatrie;societe savante;https://www.europsy.net/news/;https://www.europsy.net/news//feed;https://www.europsy.net/guidance-papers/;No;https://www.facebook.com/europsy/
Fédération française de psychiatrie;fedepsy;psychiatrie;federation;https://fedepsychiatrie.fr;https://fedepsychiatrie.fr/feed/;No;No;https://x.com/FPsychiatrie
Société Française de Psychiatrie de l'Enfant et de l'Adolescent et Disciplines Associées;SFPEADA;psychiatrie;societe savante;https://sfpeada.fr;https://sfpeada.fr//feed;https://sfpeada.fr//feed;No;No
Société Française de Rhumatologie;SFR;rhumatologie;societe savante;https://sfr.larhumatologie.fr/actualites;No;https://sfr.larhumatologie.fr/formations-ressources/recommandations;No;No
Collège Français des Enseignants en Rhumatologie;COFER;rhumatologie;societe savante;http://www.lecofer.org/actualites.php;No;http://www.lecofer.org/3eme-cycle.php;No;No
European League Against Rheumatism;EULAR;rhumatologie;societe savante;https://www.eular.org;No;https://www.eular.org/recommendations-management;No;https://x.com/eular_org
American College of Rheumatology;ACR;rhumatologie;societe savante;https://www.rheumatology.org/About-Us/Newsroom/Press-Releases;No;https://www.rheumatology.org/Practice-Quality/Clinical-Support/Clinical-Practice-Guidelines;No;https://x.com/ACRheum
Groupe de Recherche et d'Information sur les Ostéoporoses;GRIO;rhumatologie;societe savante;https://www.grio.org/membres/actualites-professionnelles.php;No;https://www.grio.org/membres/avis-du-grio.php;No;https://x.com/GrioOsteoporose
International Osteoporosis Foundation;IOF;rhumatologie;societe savante;https://www.osteoporosis.foundation/news;No;https://www.osteoporosis.foundation/health-professionals/diagnosis;No;https://x.com/iofbonehealth
Association Française de Lutte Antirhumatismale;AFLAR;rhumatologie;association;https://www.aflar.org/category/actualites/;https://www.aflar.org/feed/;https://www.aflar.org/category/mediatheque/doc-pro-de-sante/;No;https://x.com/asso_aflar
Association Française de Psychiatrie Biologique et de Neuropsychopharmacologie;AFPBN;psychiatrie;societe savante;https://www.afpbn.org/category/actus/;https://www.afpbn.org/feed/;No;No;https://x.com/afpbn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
American Academy of Sleep Medicine;AASM;sommeil;societe savante;https://aasm.org/blog/;https://aasm.org/feed/;https://aasm.org/clinical-resources/practice-standards/practice-guidelines/;No;https://x.com/aasmorg
